Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4426.75/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,
0xc0211ec3396d96011b77bbd5e97c74ff2e61dcfd13f3674c734757312a64034f,9704005,1637843392,2021-11-25 12:29:52,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xca28a223a499c7d1ac9937a33ef8b87a8e4d7171,0,0,0,0.010360774,45.864556305,,,,AccepireBT Contract,
0x35be1c85c0dd1e281a9d342439812456f954428b3a6478121a1dcb71da3a8dac,9704006,1637843407,2021-11-25 12:30:07,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xca28a223a499c7d1ac9937a33ef8b87a8e4d7171,,0,0,0,0.00022411,0.99207894,,,,Set Sales Agreement,
0xa3121e81d5be6ac6cfb591f5a2ff8df079d94e7743e3297b4ba8928f6157ed5a,9704007,1637843422,2021-11-25 12:30:22,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xca28a223a499c7d1ac9937a33ef8b87a8e4d7171,,0,0,0,0.00038325999923348,1.69659620160681000,,,,Add Order,
0x19f261677ed445e8911c8ed945dd61cebac608b0a9203b28c05d77c7c24bcf16,9704008,1637843437,2021-11-25 12:30:37,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xca28a223a499c7d1ac9937a33ef8b87a8e4d7171,,0,0,0,0.000241011999517976,1.066899868866200000,,,,Create Invoice,
0xd265bbe248e4d0684cb4ff03e8a7d9b89a24127feed6eb4ca35c1555a562ab74,9704010,1637843467,2021-11-25 12:31:07,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xca28a223a499c7d1ac9937a33ef8b87a8e4d7171,,0,0,0,0.000093205999720382,0.412599659262201000,,,,Confirm Invoice,
0x18e44f080cad9f37b6a546d88a5b730f8f5c87e004e8057cd8366377bea3a6e2,9704011,1637843482,2021-11-25 12:31:22,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xca28a223a499c7d1ac9937a33ef8b87a8e4d7171,,0,0,0,0.000073708502211255,0.326289112163673000,,,,Confirm Order,
0x62789d2225246b47469a092d6149212f15218ba74009d5726e5cf610ea434276,9704013,1637843512,2021-11-25 12:31:52,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xca28a223a499c7d1ac9937a33ef8b87a8e4d7171,,0,0,0,0.000208432505697155,0.922678594594881000,,,,Set Financial Agreement Parties,
0xf03d07964e16319577d4b19819d7981dc813c337341a8958a0c00bc6cc8b3aee,9704014,1637843527,2021-11-25 12:32:07,0x9049ce69906d3cd891556810c39f09ea921fc087,0xca28a223a499c7d1ac9937a33ef8b87a8e4d7171,,0,0,0,0.0000356376014849,0.1577587523732810,,,,Confirm Financial Agreement,
0xd0eaf98e9cb7b180a21418920bf1508f79a8fc6d17a32d992a5f4fff42fe8693,9704015,1637843542,2021-11-25 12:32:22,0x9049ce69906d3cd891556810c39f09ea921fc087,0xca28a223a499c7d1ac9937a33ef8b87a8e4d7171,,0,0,0,0.000208768505427981,0.924165981403315000,,,,Set LC Agreement,
0x9ee2887438a1880a8ce6c590e1fd4da4e91e032b518a146befaabf758f678be1,9704016,1637843557,2021-11-25 12:32:37,0x9049ce69906d3cd891556810c39f09ea921fc087,0xca28a223a499c7d1ac9937a33ef8b87a8e4d7171,,0,0,0,0.000080575502041246,0.356687603661086000,,,,Add Document,
