Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4058.33/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,
0x9d8a241de1dda36954613cb9da523310e4bb5654436569293c888d175a9688ee,9720335,1638088396,2021-11-28 08:33:16,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xf5bf6eed901fd9d020aafe1ccc113176e5aa6844,0,0,4058.33,0.025901935005180400,105.118599889574,,,,Accepire-BT Contract,
0x2257f1bd1bf9d3edda9f7842a0a9beb1be90f4792c63cc89fffa470b1700c655,9720336,1638088411,2021-11-28 08:33:31,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf5bf6eed901fd9d020aafe1ccc113176e5aa6844,,0,0,4058.33,0.000560275000112055,2.27378084120476,,,,Set Sales Agreement,
0x40d7f75c55000b865573be61791903a372670ae891c081b7af3b0cf47790a62a,9720337,1638088426,2021-11-28 08:33:46,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf5bf6eed901fd9d020aafe1ccc113176e5aa6844,,0,0,4058.33,0.00095815000019163,3.8884888902777,,,,Add Order,
0x49269d2a63f064fc864fb0d81f1fcac4dbb1a32dde87edcae1a1fbf5e5d7ac7e,9720338,1638088441,2021-11-28 08:34:01,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf5bf6eed901fd9d020aafe1ccc113176e5aa6844,,0,0,4058.33,0.000602530000241012,2.44526557587811,,,,Create Invoice,
0xe985c927b30f0915dc547ea735b70e0dfc5177de82908345794efea5e70d6cf8,9720339,1638088456,2021-11-28 08:34:16,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf5bf6eed901fd9d020aafe1ccc113176e5aa6844,,0,0,4058.33,0.000226024550093206,0.917282212379761,,,,Confirm Invoice,
0x27596376d35ebd62c7f9e794fbb457c1e4ba4cc718c9578c090ba0a79dc31fff,9720340,1638088471,2021-11-28 08:34:31,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf5bf6eed901fd9d020aafe1ccc113176e5aa6844,,0,0,4058.33,0.000098278001425031,0.398844561523246,,,,Confirm Order,
0x66a2b09377af048cfe3c7b37b0f9a2ff56e066b422ed553abec8bab6cb82a216,9720342,1638088501,2021-11-28 08:35:01,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf5bf6eed901fd9d020aafe1ccc113176e5aa6844,,0,0,4058.33,0.00034738750194537,1.40981312076995,,,,Set Financial Agreement Parties,
0xccee1dc9514543f8cdf96aa8d8b6b5ee2419b5f18d584943424bd0a2868ec2f0,9720343,1638088516,2021-11-28 08:35:16,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf5bf6eed901fd9d020aafe1ccc113176e5aa6844,,0,0,4058.33,0.00002969800044547,0.120524286147864,,,,Confirm Financial Agreement,
0x274203a18a565abbdc92612e11c18de0652f59d4f4215465d9c3eca238f66555,9720344,1638088531,2021-11-28 08:35:31,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf5bf6eed901fd9d020aafe1ccc113176e5aa6844,,0,0,4058.33,0.000208768501809327,0.847251473947846,,,,Set LC Agreement,
0x1bb638f348214d2a53aba179c41c12927f298babadbf05f58d4fae3ebaec24e7,9720345,1638088546,2021-11-28 08:35:46,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf5bf6eed901fd9d020aafe1ccc113176e5aa6844,,0,0,4058.33,0.000053717000805755,0.21800131588002,,,,Add Document,
