Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $0/Eth,TxnFee(ETH),TxnFee(USD),Method,Status,ErrCode,
0x237de2397a8bf07c9f99b1ddeb7c9dea89c8a16448bdf2d040de73ce5fd6498f,160501,1638165016,2021-11-29 05:50:16,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x8bdf11c73d519ff258865b9b9044a8b027dc9e4e,0,0,4332.06,0.000000051807482525,0.000224433122747252,Accepire-BT Contract,,,
0x28ec771349cb38c44ec93931aff2be65bf58fb15a6a8ddaed2aba065565e40c0,160502,1638165016,2021-11-29 05:50:16,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x8bdf11c73d519ff258865b9b9044a8b027dc9e4e,,0,0,4332.06,0.000000001119605923,0.00000485020003479138,Set Sales Agreement,,,
0xd5b6c067a4dd80602beecbfc279129f3e0ebdc33d94e19d8fda88889e4948a33,160503,1638165016,2021-11-29 05:50:16,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x8bdf11c73d519ff258865b9b9044a8b027dc9e4e,,0,0,4332.06,0.000000001948363819,0.00000844042896573714,Add Order,,,
0x76a921f3244b5ca154fc4085e49f276946645f1d22121468d24599c010c8dfc4,160504,1638165016,2021-11-29 05:50:16,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x8bdf11c73d519ff258865b9b9044a8b027dc9e4e,,0,0,4332.06,0.000000001128116595,0.0000048870687765357,Create Invoice,,,
0xbfa8de68ae122ea115d9c41d8e92fd56fa8be0ebf904f640853b11ce4323e383,160505,1638165016,2021-11-29 05:50:16,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x8bdf11c73d519ff258865b9b9044a8b027dc9e4e,,0,0,4332.06,0.000000000466081723,0.00000201909398893938,Confirm Invoice,,,
0x48f52933997526b9a0f039ee8da96cc217c60afde20c6dd14e87c7576ed1b843,160507,1638165016,2021-11-29 05:50:16,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x8bdf11c73d519ff258865b9b9044a8b027dc9e4e,,0,0,4332.06,0.000000000511441723,0.00000221559623053938,Confirm Order,,,
0xb2fb774d06f533ddcf96a464463b02a6eb7e0e13ceac6ecc9ead8f4f40dd400b,160508,1638165016,2021-11-29 05:50:16,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x8bdf11c73d519ff258865b9b9044a8b027dc9e4e,,0,0,4332.06,0.000000001415605923,0.00000613248979479138,Set Financial Agreement Parties,,,
0xfc6ffd4d7b81f9f0242f1617948a55accf11c9a2b65b51809cab4c39ac420a71,160509,1638165016,2021-11-29 05:50:16,0x9049ce69906d3cd891556810c39f09ea921fc087,0x8bdf11c73d519ff258865b9b9044a8b027dc9e4e,,0,0,4332.06,0.000000000338031723,0.00000146437370593938,Confirm Financial Agreement,,,
0x3cc2a2381996fcfb02d2424a57bb6936aabff14a0a3c4bbc148644395e29e2ae,160510,1638165016,2021-11-29 05:50:16,0x9049ce69906d3cd891556810c39f09ea921fc087,0x8bdf11c73d519ff258865b9b9044a8b027dc9e4e,,0,0,4332.06,0.000000001390849787,0.00000602524472827122,Set LC Agreement,,,
0x98a7634fb9ea205a2bdf2d7eab17dabffe455fe5fb1cd55bbbeb5a1c5ed1bf2f,160511,1638165016,2021-11-29 05:50:16,0x9049ce69906d3cd891556810c39f09ea921fc087,0x8bdf11c73d519ff258865b9b9044a8b027dc9e4e,,0,0,4332.06,0.000000000530223235,0.0000022969588674141,Add Document,,,
