Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $0/Eth,TxnFee(ETH),TxnFee(USD),Method,Status,ErrCode,
0x70e6b7b31cacc5db533eeb22e6b4f872162fc177be03a8230d09f49c631b1789,159815,1638149380,2021-11-29 01:29:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,0,0,4338.93,0.000000051807482525,0.000224789040152198,Accepire-BT Contract,,,
0xba9a6e97e0e1f5cbd7d6d1f9186ef5fb47e39fe4fb4fac2c48bc3c601929e6db,159816,1638149380,2021-11-29 01:29:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,4338.93,0.000000001119605923,0.00000485789172748239,Set Sales Agreement,,,
0xe582b932f47fc7ea26eff5c8d38b86aa60eb71af2cf6cbaac890f98101ca9720,159817,1638149380,2021-11-29 01:29:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,4338.93,0.000000001948363819,0.00000845381422517367,Add Order,,,
0x48617286c4968f5cf6679550a157e6fdf41e49e050cc8cf59969d3a2db86acb9,159818,1638149380,2021-11-29 01:29:40,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,4338.93,0.000000001128116595,0.00000489481893754335,Create Invoice,,,
0x8a16fc273f44332f2d3960e37a49cd53d4361311a63975fa6b37f4ee3a5522cf,159819,1638149380,2021-11-29 01:29:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,4338.93,0.000000000466081723,0.00000202229597037639,Confirm Invoice,,,
0xbeae04467c7f4759ef38718575fd404f823a88a69da14ef099360509d767605d,159820,1638149380,2021-11-29 01:29:40,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,4338.93,0.000000000511441723,0.00000221910983517639,Confirm Order,,,
0xf80b7e980690c81bbc3440fb6fcce1f3f3054c390ffc33fe144973c5caa65d65,159821,1638149380,2021-11-29 01:29:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,4338.93,0.000000001415605923,0.00000614221500748239,Set Financial Agreement Parties,,,
0x83b39cd79aa0f94dba23907d72758b2ba504ac0c8508d777dd2e9fd02bf17f19,159822,1638149380,2021-11-29 01:29:40,0x9049ce69906d3cd891556810c39f09ea921fc087,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,4338.93,0.000000000338031723,0.00000146669598387639,Confirm Financial Agreement,,,
0x6afdc805db8443f11dc9ac009700c47444a536be67787beff65cbf64ea4a8294,159823,1638149380,2021-11-29 01:29:40,0x9049ce69906d3cd891556810c39f09ea921fc087,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,4338.93,0.000000001390849787,0.00000603479986630791,Set LC Agreement,,,
0x9f2060008f09f3541ca9ed6c2ff81f75b4122f7f201df7b02d4cb31c92c6d437,159824,1638149380,2021-11-29 01:29:40,0x9049ce69906d3cd891556810c39f09ea921fc087,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,4338.93,0.000000000530223235,0.00000230060150103855,Add Document,,,
