Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $602.65/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0x15e129076c5a844b80885f63512fea03d8c304b12c3ba83b8afbba85911c0706,14408754,1637803980,2021-11-25 01:33:00,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,0,0,0,0.057502295705180400,34.653758506727,,,,Accepire-BT Contract,
0xa139fc35faf765b1a8dc197f2013dec3c9077f11f66ef14e3d723627bcadb395,14408757,1637803989,2021-11-25 01:33:09,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.001184980500106760,0.714128498389336,,,,Set Sales Agreement,
0x4e698e7c3f3d5d7f1ee13d3309eebfb23c1f380ae06b22f59bef0be3392cf3dc,14408760,1637803998,2021-11-25 01:33:18,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.00198945300017923,1.19894385055801,,,,Add Order,
0x5990ec9665ea872bfd37971cbe72e39c56cf40cf931192d904b169b009b2f225,14408763,1637804007,2021-11-25 01:33:27,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.001208856600108910,0.728517430055632,,,,Create Invoice,
0x82800ab59775b0d8199f5b936bb65827d22c0bfc00404ac5352ba951002da4fb,14408766,1637804016,2021-11-25 01:33:36,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.000488433300044003,0.294354328271518,,,,Confirm Invoice,
0x3d7d9474f62ddbab7b9d6c0ccd4cedc3ce0962268a438d041bcdbc19bb499e41,14408769,1637804025,2021-11-25 01:33:45,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.000509922900045939,0.307305035712685,,,,Confirm Order,
0x8f65792c0519d64a984a362f2bbac2f9dcb8e05e182be7fbddf25c09d48003a1,14408774,1637804040,2021-11-25 01:34:00,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.001455820500131160,0.877350224404041,,,,Set Financial Agreement Parties,
0xad45d4d622015b2a4f006648940db5a114d353774c808c76ee361750b4b5b552,14408778,1637804052,2021-11-25 01:34:12,0x9049ce69906d3cd891556810c39f09ea921fc087,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.000331867800029898,0.200000129688018,,,,Confirm Financial Agreement,
0x270de395f3218a8f6143b692788c05b845fa2193286bc8d5081b15226942a894,14408781,1637804061,2021-11-25 01:34:21,0x9049ce69906d3cd891556810c39f09ea921fc087,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.001442766900129980,0.869483472363332,,,,Set LC Agreement,
0xef3dd58de82c0cfef69dba03541e6e3b28d1a8e4ebd2a471233f45eb44327426,14408784,1637804070,2021-11-25 01:34:30,0x9049ce69906d3cd891556810c39f09ea921fc087,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.000530768700047817,0.319867757083817,,,,Add Document,
0x97e5726c0386e2c71d4f0f0939f6c3e5d08f17052e3ed1ab7549dba0fa50e0d8,14408788,1637804082,2021-11-25 01:34:42,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.000516383100046521,0.311198275243036,,,,Validate Document,
0x48131efb72a0c15f63278392991deebac855078f55041c0af18431dc6616b7ca,14408792,1637804094,2021-11-25 01:34:54,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.002004304800180570,1.20789428782882,,,,Set Shipping Agreement,
0x37128e4223d5fedeb0ef82185e077dd078d3f2c36ecaeabafbe0120b7c316c2a,14408795,1637804103,2021-11-25 01:35:03,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.000321311700028947,0.193638496022445,,,,Verify Goods,
0xd96da5953fda64270990f7b7fc1d4bd68c4bf02f27b9b9de084cc47ee62ad612,14408798,1637804112,2021-11-25 01:35:12,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.000343012200030902,0.206716302348623,,,,Verify Goods,
0xbc7ee2c37088bbb8b5135bd7c489b1cd445f0006f603130d4d97b5cac7ec6398,14408801,1637804121,2021-11-25 01:35:21,0x209b153a796c1924b675e5cd9476384cd38e9387,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.000372171900033529,0.224289395555206,,,,Initiate Shipment,
0x63318fdd9c0e8a4ad5f0fa7bbfba36e25f397ec5e6863b1e686f2fb2774026f1,14408804,1637804130,2021-11-25 01:35:30,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.00034354500003095,0.207037394268652,,,,Verify Goods,
0x84178ac495f353cf0f798e41a3df3741ad1087a18005d4ae34e8da0846901ad8,14408807,1637804139,2021-11-25 01:35:39,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.000332955600029996,0.200655692358077,,,,Confirm Shipment,
0xe088aa6167915aea0cc9334a516036fc82d55ad0e7dcc8ee9f1dc66bd8ca1854,14408810,1637804148,2021-11-25 01:35:48,0x9049ce69906d3cd891556810c39f09ea921fc087,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.001214795100109440,0.732096267080955,,,,Set Payment Agreement,
0xdbba5d1beb39f77fac489fdb223d6db709085889d057b87de5d408af91edc8a7,14408813,1637804157,2021-11-25 01:35:57,0x9049ce69906d3cd891556810c39f09ea921fc087,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.000343633800030958,0.207090909588657,,,,Initiate Payment,
